,ImageId_ClassId,EncodedPixels
0,000201.jpg_1,10937 17 11109 6 11127 31 11279 8 11305 55 11475 15 11503 56 11673 17 11701 57 11859 31 11901 57 12055 36 12101 56 12255 35 12304 51 12455 35 12509 44 12655 33 12713 26 12859 26 12931 4 13065 16 15251 9 15267 12 15449 32 15647 36 15813 27 15845 40 15937 24 16009 77 16132 33 16199 2 16207 80 16330 46 16394 7 16405 84 16528 73 16603 92 16727 74 16803 102 16927 74 17002 105 17127 182 17327 182 17526 183 17727 182 17927 182 18128 156 18289 21 18329 152 18497 10 18529 116 18663 15 18731 112 18867 9 18934 108 19068 6 19136 106 19268 4 19339 103 19543 15 19573 28 19603 39 19774 27 19806 33 19975 26 20009 12 20175 26 20376 25 20579 21
1,000201.jpg_2,
2,000201.jpg_3,
3,000202.jpg_1,6141 5 6337 23 6535 26 6682 6 6707 55 6878 12 6905 57 7075 16 7103 59 7261 4 7272 20 7303 59 7460 33 7503 57 7657 35 7710 48 7844 47 7914 31 8042 46 8129 12 8242 42 8442 39 10871 5 11051 29 11219 10 11248 35 11332 17 11415 22 11448 37 11530 28 11612 29 11647 40 11728 32 11797 4 11810 78 11926 44 11977 24 12008 83 12126 75 12206 99 12326 75 12404 104 12526 75 12602 106 12726 183 12926 184 13128 181 13330 179 13532 175 13734 112 13866 24 13937 107 14068 10 14139 104 14269 7 14341 102 14470 5 14544 98 14670 2 14772 68 14974 64 15176 47 15377 24 15578 23 15778 23 15979 21 16181 15
4,000202.jpg_2,
5,000202.jpg_3,
6,000203.jpg_1,7574 17 7764 26 7941 49 8120 70 8314 75 8510 77 8696 87 8890 84 9087 86 9284 87 9416 25 9473 97 9614 33 9664 106 9812 158 10010 160 10209 161 10409 160 10609 159 10809 159 11009 157 11214 150 11435 127 11640 119 11843 114 12046 109 12249 104 12453 98 12655 94 12857 89 13058 86 13260 79 13463 33 13667 23 13870 18 14073 13 14276 8
7,000203.jpg_2,
8,000203.jpg_3,
9,000206.jpg_1,6168 11 6365 16 6561 19 6739 40 6935 42 7136 38 7337 33 7537 30 7741 19 35433 12 35624 23 35821 42 36020 45 36219 48 36417 52 36601 68 36801 68 37001 29 37051 18 37201 23 37256 9 37401 19 37601 17
10,000206.jpg_2,
11,000206.jpg_3,
12,000209.jpg_1,10159 13 10322 11 10352 20 10517 56 10715 59 10907 65 11104 67 11300 70 11446 124 11641 129 11837 134 12034 138 12232 141 12431 145 12630 156 12829 163 13029 170 13228 171 13427 173 13613 11 13626 172 13807 187 14007 115 14129 60 14207 111 14331 26 14369 15 14409 107 14613 99 14822 12 14845 18 14873 31 15026 4 15076 23 15278 9
13,000209.jpg_2,
14,000209.jpg_3,
15,000210.jpg_1,22304 8 22503 11 22531 15 22702 14 22726 26 22897 61 23043 11 23090 72 23239 26 23271 91 23438 124 23637 125 23836 100 23941 19 24037 96 24146 10 24238 30 24302 30 24438 25 24516 15
16,000210.jpg_2,
17,000210.jpg_3,
18,000212.jpg_1,9923 8 10121 12 10319 14 10518 16 10695 4 10717 18 10893 10 10917 19 11090 15 11116 21 11286 22 11313 24 11479 58 11677 57 11869 60 12065 62 12264 65 12462 79 12661 82 12858 86 13054 89 13254 89 13454 59 13528 8 13654 57 13859 44 14064 32 14268 25 14471 18
19,000212.jpg_2,
20,000212.jpg_3,
